score,file,issues,path
21,data/entries/L5_community_knowledge/l4-community-resource-allocation.md,"21 table lines (renders as pipe characters) | 1 lines with italic (*text* — no italic font) | 737 content lines (max 150, ~67 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L5_community_knowledge/l4-community-resource-allocation.md
20,data/entries/L2_food_biology/l2-regional-southeast-hazards.md,"title 29 chars (max 25): ""Southeast US Regional Hazards"" | 45 table lines (renders as pipe characters) | 658 content lines (max 150, ~59 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-southeast-hazards.md
20,data/entries/L3_materials_technology/l3-tech-digital-radio.md,"46 table lines (renders as pipe characters) | 795 content lines (max 150, ~72 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L3_materials_technology/l3-tech-digital-radio.md
20,data/entries/L3_materials_technology/l3-tech-vehicle-maintenance.md,"title 26 chars (max 25): ""Vehicle Maintenance Basics"" | 28 table lines (renders as pipe characters) | 687 content lines (max 150, ~62 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L3_materials_technology/l3-tech-vehicle-maintenance.md
20,data/entries/L5_community_knowledge/l4-community-long-term-morale.md,"24 table lines (renders as pipe characters) | 793 content lines (max 150, ~72 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L5_community_knowledge/l4-community-long-term-morale.md
19,data/entries/L2_food_biology/l2-regional-northeast-hazards.md,"title 29 chars (max 25): ""Northeast US Regional Hazards"" | 34 table lines (renders as pipe characters) | 610 content lines (max 150, ~55 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-northeast-hazards.md
18,data/entries/L2_food_biology/l2-regional-alaska-overview.md,"title 30 chars (max 25): ""Alaska Regional Survival Guide"" | 51 table lines (renders as pipe characters) | 584 content lines (max 150, ~53 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-alaska-overview.md
18,data/entries/L2_food_biology/l2-regional-midwest-hazards.md,"title 27 chars (max 25): ""Midwest US Regional Hazards"" | 39 table lines (renders as pipe characters) | 587 content lines (max 150, ~53 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-midwest-hazards.md
18,data/entries/L2_food_biology/l2-regional-rockies-overview.md,"title 39 chars (max 25): ""Rocky Mountains Regional Survival Guide"" | 47 table lines (renders as pipe characters) | 550 content lines (max 150, ~50 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-rockies-overview.md
18,data/entries/L3_materials_technology/l3-tech-generator-maintenance.md,"68 table lines (renders as pipe characters) | 679 content lines (max 150, ~61 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L3_materials_technology/l3-tech-generator-maintenance.md
18,data/entries/L3_materials_technology/l3-tech-offgrid-troubleshooting.md,"title 30 chars (max 25): ""Off-Grid Power Troubleshooting"" | 10 table lines (renders as pipe characters) | 575 content lines (max 150, ~52 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L3_materials_technology/l3-tech-offgrid-troubleshooting.md
17,data/entries/L2_food_biology/l2-regional-alaska-hazards.md,"36 table lines (renders as pipe characters) | 619 content lines (max 150, ~56 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-alaska-hazards.md
17,data/entries/L2_food_biology/l2-regional-midwest-overview.md,"title 34 chars (max 25): ""Midwest US Regional Survival Guide"" | 48 table lines (renders as pipe characters) | 510 content lines (max 150, ~46 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-midwest-overview.md
17,data/entries/L2_food_biology/l2-regional-northeast-overview.md,"title 36 chars (max 25): ""Northeast US Regional Survival Guide"" | 47 table lines (renders as pipe characters) | 539 content lines (max 150, ~49 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-northeast-overview.md
17,data/entries/L2_food_biology/l2-regional-rockies-hazards.md,"title 32 chars (max 25): ""Rocky Mountains Regional Hazards"" | 48 table lines (renders as pipe characters) | 510 content lines (max 150, ~46 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L2_food_biology/l2-regional-rockies-hazards.md
17,data/entries/L3_materials_technology/l3-tech-generator-basics.md,"101 table lines (renders as pipe characters) | 609 content lines (max 150, ~55 cards)",/home/eanhd/projects/field-node-firmware/data/entries/L3_materials_technology/l3-tech-generator-basics.md
